id,team_id,priority_order,created_at
0bdb31b5-a6b8-47d4-85cf-4a09a00f81e4,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,3,2026-04-10 10:58:06.79787+00
3cc47c9f-01eb-4f84-8755-364a55fec89c,acfbd82a-7005-41b9-9613-606ceefc857e,15,2026-04-10 10:58:06.79787+00
577b3147-18af-4b33-84c8-50a5622acca3,61d8b501-96d1-4043-a2b7-de27e9b137d7,8,2026-04-10 10:58:06.79787+00
5d27b41b-16c9-471d-9930-34ceaba4894f,d6209663-7a5c-4736-b346-cde299b554b2,5,2026-04-10 10:58:06.79787+00
73bac5e1-f75e-433e-b630-9f9eaac793f9,52eaa3b4-081b-4393-b291-d69c644c612e,1,2026-04-10 10:58:06.79787+00
7bd998e2-f24b-47fa-af65-d0a3d6ca1a4b,20160ec3-c507-4fb3-b19d-89cb66c59a98,13,2026-04-10 10:58:06.79787+00
85e006b7-984f-4877-af31-5f77508a495d,8cccecd8-b1ab-4159-bf35-29ef0db369c4,4,2026-04-10 10:58:06.79787+00
95d4a0a9-1898-4cef-a3c0-46d87b6d54b2,54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,9,2026-04-10 10:58:06.79787+00
9b9475f8-4067-4c85-8ae5-82214eee21ab,151a98cf-99e8-4e7a-ab57-396a13db4a72,12,2026-04-10 10:58:06.79787+00
9e342ff8-e36a-42a8-b370-ff1bcec82830,910a4a31-591d-4c32-8b57-b0d0bbde5a26,14,2026-04-10 10:58:06.79787+00
a75661c5-b0d2-4376-821a-45341cb6f5ee,52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,11,2026-04-10 10:58:06.79787+00
afe8d8a9-a166-4854-808b-556610fe97aa,ddd77a2f-eb9f-4a20-8ae4-e1ca55c21893,7,2026-04-10 10:58:06.79787+00
bf0d43cc-0e03-4d7a-a957-2f21134cd3d9,cd984ce3-2f2c-41d5-a7ba-137060caf8ae,6,2026-04-10 10:58:06.79787+00
bf0f6bf4-3dce-400f-87d4-e5a8e236dd01,c8e5c035-af92-4497-b96c-82f2c0a15214,10,2026-04-10 10:58:06.79787+00
ca6faea1-453d-4a34-a179-fe03e6ab9817,87881cf2-7a14-4afa-9912-0ef5b2672387,16,2026-04-10 10:58:06.79787+00
fde7993e-d0d7-42e3-8448-54313f42418b,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,2,2026-04-10 10:58:06.79787+00
