id,player_id,round_id,team_id,multiplier,is_assigned,created_at,oracle_pick
009f5367-8575-4caa-a586-4a6ec0538072,3fe745df-9187-41d7-a785-c3736a7277d7,5b9456a0-db45-445f-87a0-58737bb89313,151a98cf-99e8-4e7a-ab57-396a13db4a72,2,false,2026-06-24 16:53:30.915526+00,false
011679a8-9c2a-465d-ab45-d84d5587e841,38120818-5997-43e2-a907-f86000cf4b53,5b9456a0-db45-445f-87a0-58737bb89313,fcc03c57-8857-4986-98b0-0e30fb42ab2a,2,false,2026-06-08 11:54:20.408673+00,false
0289ac63-698d-4a87-aac7-6b65311e9a02,8050b663-c1ef-4a14-86bd-3ea225435c17,5b9456a0-db45-445f-87a0-58737bb89313,151a98cf-99e8-4e7a-ab57-396a13db4a72,2,false,2026-06-23 05:29:25.761883+00,false
043c8449-c751-4a8a-810f-72e2ecd29045,1114a750-be9a-44a9-8d82-001931ea4466,5f39c536-340b-4981-b59a-4a9d7aff9e1e,4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,2,false,2026-06-26 17:13:11.903845+00,false
04e85684-03aa-4533-a880-d2180376a275,fa6409a1-23bb-4d8f-a6a3-a724774868cb,6aa7c75c-0fc8-46f0-8219-84f969510a0e,1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,2,false,2026-07-12 08:33:10.691902+00,false
05a7d3db-280c-4405-b1c3-d3d828835941,c599dde6-99b1-4e0e-a4cf-2842c8f62162,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,cba2c884-3603-4b90-976e-49389b04f562,2,false,2026-07-04 05:42:51.730411+00,false
06476d60-d7e3-4e4c-99f2-f554740acc3e,195dcc37-e60e-4608-a0dc-c12766e96259,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,52eaa3b4-081b-4393-b291-d69c644c612e,2,false,2026-06-10 05:31:01.724624+00,false
06c518d3-8536-4a1a-bcae-c895c911a61f,5d4ce78f-67ee-4a61-afab-c44ffc6afe91,5b9456a0-db45-445f-87a0-58737bb89313,151a98cf-99e8-4e7a-ab57-396a13db4a72,3,false,2026-06-23 18:28:47.219401+00,false
07395e96-812e-4c00-b31c-e39d4d78ddd3,b8526be4-5eb8-4f89-b015-699537c368ce,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,52eaa3b4-081b-4393-b291-d69c644c612e,2,false,2026-06-08 16:20:21.777935+00,false
07ff1fc0-bf34-4de5-a524-edcf21d41208,3422f6a8-d289-4ce8-8135-b547ff0f9606,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,fcc03c57-8857-4986-98b0-0e30fb42ab2a,2,false,2026-07-03 15:52:19.594728+00,false
08a0fda1-9f44-4a00-b6ad-ca913cc28d00,195dcc37-e60e-4608-a0dc-c12766e96259,c22e6746-73c1-4060-9194-eb35359c955e,d6209663-7a5c-4736-b346-cde299b554b2,2,false,2026-06-18 10:00:39.978081+00,false
0c2cf528-6c47-488e-ab9c-32b688529522,3fe745df-9187-41d7-a785-c3736a7277d7,aa9754bd-50eb-4785-8698-e56c6d3cb661,6ea9375b-d599-463f-96e6-c87d9209e9b2,2,false,2026-07-07 23:47:21.361561+00,false
0cee0956-6598-40ce-b920-77efc52500ba,8050b663-c1ef-4a14-86bd-3ea225435c17,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,52eaa3b4-081b-4393-b291-d69c644c612e,3,false,2026-06-06 11:29:06.070391+00,false
0dabc4ce-d9e1-4c0c-959d-57d79b58877f,3422f6a8-d289-4ce8-8135-b547ff0f9606,6aa7c75c-0fc8-46f0-8219-84f969510a0e,95b1e39e-97c3-4d45-9714-3f507d7c52f1,2,false,2026-07-13 13:23:43.828412+00,false
1200e2a8-75c8-4e91-9ef7-159baf293be5,fa6409a1-23bb-4d8f-a6a3-a724774868cb,5b9456a0-db45-445f-87a0-58737bb89313,4976e7fd-9b45-4cc7-b741-fe801fcee2d0,3,false,2026-06-23 11:53:17.486521+00,false
12571d8d-fa1a-4443-acef-40309f5cf735,195dcc37-e60e-4608-a0dc-c12766e96259,6aa7c75c-0fc8-46f0-8219-84f969510a0e,f2c7a0c3-9a4c-4e3f-92a3-39abff0ce8e2,2,false,2026-07-14 06:39:07.766725+00,false
