id,round_id,player_id,position,total_points,snapshot_taken_at,created_at
00a5e3ce-68a5-4f29-b2c5-c03378ee304b,aa9754bd-50eb-4785-8698-e56c6d3cb661,3d58a7df-9922-413e-b42a-c2f162fb834c,18,13,2026-07-12 08:29:29.05563+00,2026-07-12 08:29:29.05563+00
01367dda-f33c-4d05-85e4-bda68a161f4c,c22e6746-73c1-4060-9194-eb35359c955e,ed3a6f56-12b3-4f1a-ab83-4744531df4f1,3,10,2026-06-24 06:17:24.454436+00,2026-06-24 06:17:24.454436+00
01ae98a0-d82a-419c-89d5-9287e8f2666a,5b9456a0-db45-445f-87a0-58737bb89313,b3d06ab8-28c8-4e46-a174-1da15c08949c,21,10,2026-06-29 08:42:30.839291+00,2026-06-29 08:42:30.839291+00
02804521-757b-4813-a5d3-21d19d420847,aa9754bd-50eb-4785-8698-e56c6d3cb661,71391ec7-5614-4690-8008-e2e16163570b,8,17,2026-07-12 08:29:29.05563+00,2026-07-12 08:29:29.05563+00
03337267-fab5-4cab-929e-59f06683a4b8,318f2b2d-d52a-4102-bd8d-7ab594a40f42,3d58a7df-9922-413e-b42a-c2f162fb834c,27,0,2026-06-18 15:05:59.288454+00,2026-06-18 15:05:59.288454+00
034144ea-7295-43c7-9f69-c8d2d7ba3e09,5b9456a0-db45-445f-87a0-58737bb89313,8050b663-c1ef-4a14-86bd-3ea225435c17,8,14,2026-06-29 08:42:30.839291+00,2026-06-29 08:42:30.839291+00
0740091e-c237-4590-8de9-ff165edd7bf1,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,31780afe-855c-4c9d-9cf6-56e3570c00c4,9,17,2026-07-07 23:10:22.304823+00,2026-07-07 23:10:22.304823+00
09967f9a-f382-4dcc-86c2-dc637febc35d,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,e73bedf4-0330-41d0-b1e7-31cb55909eed,6,18,2026-07-07 23:10:22.304823+00,2026-07-07 23:10:22.304823+00
0a2bb8a0-99ac-4fd3-84d3-35a5cedeac40,318f2b2d-d52a-4102-bd8d-7ab594a40f42,5e429458-4e6f-4df7-88bd-43977c8f74b1,4,0,2026-06-18 15:05:59.288454+00,2026-06-18 15:05:59.288454+00
0a31d895-54ba-419a-9231-1912407bfd4d,5b9456a0-db45-445f-87a0-58737bb89313,5e429458-4e6f-4df7-88bd-43977c8f74b1,23,9,2026-06-29 08:42:30.839291+00,2026-06-29 08:42:30.839291+00
0b7878e4-fe57-4b16-a187-b7e389d11468,5f39c536-340b-4981-b59a-4a9d7aff9e1e,5d4ce78f-67ee-4a61-afab-c44ffc6afe91,6,16,2026-07-04 03:49:15.880695+00,2026-07-04 03:49:15.880695+00
0d081efe-7113-459f-815c-08dfde26a551,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,8050b663-c1ef-4a14-86bd-3ea225435c17,2,6,2026-06-18 05:40:07.580305+00,2026-06-18 05:40:07.580305+00
0d1e05a6-c9a7-4dfd-9a72-92d5ea43feb8,aa9754bd-50eb-4785-8698-e56c6d3cb661,3fe745df-9187-41d7-a785-c3736a7277d7,11,16,2026-07-12 08:29:29.05563+00,2026-07-12 08:29:29.05563+00
0efac824-b881-4384-b3b3-e7bd7f6b8f1f,32854b42-0d3a-4e2e-9555-00cd1e6c83c6,6df76041-17a2-4c81-b653-82bb7124ee3f,22,3,2026-06-18 05:40:07.580305+00,2026-06-18 05:40:07.580305+00
0fb9bb02-ada3-4470-b675-f93132bb5e9a,318f2b2d-d52a-4102-bd8d-7ab594a40f42,1243a746-100c-460a-bf0f-2aadef7332b8,23,0,2026-06-18 15:05:59.288454+00,2026-06-18 15:05:59.288454+00
