id,name,flag_emoji,is_longshot,odds_rank,created_at,pot,is_eliminated,band,eliminated_in_round_id,bracket_half
1270b02b-ff92-4068-a52e-ae90bcae805b,Cape Verde,🇨🇻,true,46,2026-04-08 22:32:34.951662+00,4,true,no_hoper,5f39c536-340b-4981-b59a-4a9d7aff9e1e,bottom
151a98cf-99e8-4e7a-ab57-396a13db4a72,Senegal,🇸🇳,false,18,2026-04-06 07:37:04.039369+00,2,true,dark_horse,5f39c536-340b-4981-b59a-4a9d7aff9e1e,top
1b2fe4cc-3105-4e0b-b1ff-06f91c466ef7,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,false,3,2026-04-06 07:37:04.039369+00,1,true,favourite,6aa7c75c-0fc8-46f0-8219-84f969510a0e,bottom
20160ec3-c507-4fb3-b19d-89cb66c59a98,South Korea,🇰🇷,true,23,2026-04-06 07:37:04.039369+00,2,true,long_shot,5b9456a0-db45-445f-87a0-58737bb89313,
2044181c-c7e7-4759-8101-4779166812e3,Netherlands,🇳🇱,false,8,2026-04-06 07:37:04.039369+00,1,true,favourite,5f39c536-340b-4981-b59a-4a9d7aff9e1e,top
20e98c7a-4548-44f8-964d-7aba42ae7624,Norway,🇳🇴,false,9,2026-04-08 22:32:34.951662+00,3,true,dark_horse,aa9754bd-50eb-4785-8698-e56c6d3cb661,bottom
4976e7fd-9b45-4cc7-b741-fe801fcee2d0,Bosnia/Herzeg,🇧🇦,true,31,2026-04-08 22:32:34.951662+00,4,true,long_shot,5f39c536-340b-4981-b59a-4a9d7aff9e1e,top
4f0f3776-f99f-4c06-9eb4-0acd2825d8c2,Canada,🇨🇦,false,46,2026-04-06 07:37:04.039369+00,1,true,long_shot,27ce4fc5-3de9-4cf0-bfc5-5fa0addb7081,top
52eaa3b4-081b-4393-b291-d69c644c612e,Austria,🇦🇹,false,22,2026-04-06 07:37:04.039369+00,2,true,long_shot,5f39c536-340b-4981-b59a-4a9d7aff9e1e,top
52f066d8-0a7a-42c5-8a6b-103ec4ba2c91,Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿,false,26,2026-04-08 22:32:34.951662+00,3,true,long_shot,5b9456a0-db45-445f-87a0-58737bb89313,
54ef8b7c-5afd-4a48-a3b9-d6701dd757f9,Ivory Coast,🇨🇮,false,37,2026-04-06 07:37:04.039369+00,3,true,long_shot,5f39c536-340b-4981-b59a-4a9d7aff9e1e,bottom
600575e1-d737-452a-abec-c6e22da92787,Qatar,🇶🇦,true,47,2026-04-06 07:37:04.039369+00,3,true,no_hoper,5b9456a0-db45-445f-87a0-58737bb89313,
